Artist,CountryRegion,Role,BriefArtistIntroEnglish,BriefArtistIntroChinese,Source
GALA,China,band,"Chinese rock band founded in 2004. Their sound is built on bright guitar energy, youthful urgency, and choruses designed for stadium shouting. Their breakout single ""Young for You"" (2004) — sung in intentionally broken English — became an anthem for indie rock fans. Their 2011 track ""Chasing Dreams with a Pure Heart"" remains one of the most recognizable Chinese rock songs, widely adopted as an inspirational anthem.",中国摇滚乐队，成立于2004年，音乐以明亮的吉他能量、青春的张力和适合大合唱的副歌见长。2004年以故意使用不标准英语发音的《Young for You》走红，成为独立摇滚乐迷的经典之作。2011年的《追梦赤子心》被广泛用作励志歌曲，至今仍是最具辨识度的华语摇滚歌曲之一。,https://zh.wikipedia.org/wiki/GALA%E4%B9%90%E9%98%9F
Hugel,France,DJ and record producer,"French DJ and producer. His style is rooted in deep house and Afro-house, featuring driving percussion, melodic synth hooks, and Latin-infused rhythms. He rose to international fame in 2020 with the hit ""WTF"" (feat. Amber Van Day), which amassed over 250 million streams. He has collaborated with Topic, Armin van Buuren, and Tom Enzy, and performs regularly on the global electronic music festival circuit.",法国DJ及唱片制作人，音乐扎根于Deep House和Afro-House，以强劲的打击乐、旋律性合成器钩子和拉丁律动为特征。2020年与Amber Van Day合作的《WTF》全球播放量超2.5亿次，使其一举成名。曾与Topic、Armin van Buuren等艺术家合作，活跃于全球电子音乐节舞台。,https://www.google.com/search?q=Hugel+singer+biography
JX3暗箱组合 (JX3 Anxiang Group),China,group,"Chinese musical group associated with the massively popular MMORPG Jianwang 3 (JX3). Active since the mid-2010s, they produce character-themed songs and storyline-driven tracks that blend gufeng (ancient-style) melodies with modern pop production. They are part of JX3's broader strategy of building a multimedia entertainment universe around the game's rich world-building.",中国音乐组合，与热门大型多人在线角色扮演游戏《剑网3》深度关联。自2010年代中期起活跃，创作角色主题曲及剧情驱动型歌曲，融合古风旋律与现代流行制作，是《剑网3》围绕其丰富世界观构建多媒体娱乐版图的重要组成部分。,https://baike.baidu.com/item/%E5%89%91%E7%BD%913%C2%B7%E5%89%91%E6%AD%8C%E6%B1%9F%E6%B9%96/22223966
Jony J,Chinese,rapper,"Chinese rapper born and raised in Fuzhou. His delivery is plainspoken and grounded, with introspective lyricism at its core. He made his debut with a mixtape in 2013 and gained widespread attention through his participation in The Rap of China in 2017. His music frequently reflects on personal struggle, growth, and the realities of urban life in contemporary China.",中国说唱歌手，生于福建福州，说唱风格平实沉稳，歌词以自省式表达见长。2013年通过混音带出道，2017年因参加《中国有嘻哈》而获得广泛关注。音乐常反思个人挣扎、成长经历及当代中国都市生活的现实。,https://en.wikipedia.org/wiki/Jony_J
Lady Gaga,American,singer-songwriter and performer,"American pop icon. Her career is defined by constant image reinvention, theatrical spectacle, and the ability to turn vulnerability into grand performance art. She released her debut album The Fame in 2008 and has won 13 Grammy Awards and an Academy Award for Best Original Song (""Shallow"" from A Star Is Born, 2018). Her hits include ""Bad Romance"" (2009), ""Poker Face"" (2008), and ""Born This Way"" (2011).",美国流行文化标志性人物，以不断重塑形象、戏剧化的舞台表现和将脆弱转化为宏大表演艺术的能力闻名于世。2008年发行首张专辑《The Fame》，斩获13座格莱美奖及2018年奥斯卡最佳原创歌曲奖（《一个明星的诞生》插曲《Shallow》）。代表作包括《Bad Romance》（2009）、《Poker Face》（2008）和《Born This Way》（2011）。,https://en.wikipedia.org/wiki/Lady_Gaga
Laufey,Icelandic-Chinese,singer-songwriter,"Icelandic-Chinese singer-songwriter who has reimagined jazz-pop for a new generation. Her music draws from jazz harmonies, classical training, and old-romance warmth, all filtered through a contemporary lens. She began performing as a cello soloist with the Iceland Symphony Orchestra at 15. Her albums Everything I Know About Love (2022) and Bewitched (2023) have garnered critical acclaim and a devoted Gen Z following.",冰岛籍华裔创作型歌手，以爵士流行风格重新定义当代音乐，音乐融合爵士和声、古典训练背景与怀旧浪漫气息。15岁时便作为大提琴独奏家与冰岛交响乐团合作演出。专辑《Everything I Know About Love》（2022）和《Bewitched》（2023）获得乐评界广泛赞誉，在Z世代中拥有大量忠实听众。,https://en.wikipedia.org/wiki/Laufey_(singer)
Madcon,Norway,group,"Norwegian musical duo of rappers and producers. Their music crosses hip-hop, pop, reggae, and soul, and their stage presence is famously energetic. They achieved international fame in 2007 with their interpolation of The Four Seasons' ""Beggin'"", which became a multi-platinum global hit. They have released eight studio albums as of 2018.",挪威音乐双人组，由说唱歌手兼制作人组成，音乐横跨嘻哈、流行、雷鬼与灵魂乐，舞台表现以充满活力闻名。2007年凭借翻唱改编自The Four Seasons的《Beggin'》享誉国际，该曲在全球多国获得多白金认证。截至2018年已发行八张录音室专辑。,https://en.wikipedia.org/wiki/Madcon
Ray Dalton,United States,singer-songwriter,"American singer-songwriter with roots in gospel and R&B. His voice carries both power and emotional nuance, making him a sought-after featured vocalist. He is best known for his work on Macklemore & Ryan Lewis's ""Can't Hold Us"" (2013 — No. 1 on the Billboard Hot 100) and ""Same Love"", as well as David Guetta's ""Lovers on the Sun"" (2014). His solo material draws from soul, pop, and gospel traditions.",美国创作型歌手，出道前为福音和R&B歌手，嗓音兼具力量与情感深度。以在多首电子及流行大热单曲中的合作演唱而闻名，包括Macklemore & Ryan Lewis的《Can't Hold Us》（2013，Billboard Hot 100冠军）和David Guetta的《Lovers on the Sun》（2014）。个人作品融合灵魂乐、流行与福音音乐元素。,https://en.wikipedia.org/wiki/Ray_Dalton
S.H.E,Taiwanese,girl group,"Taiwanese girl group formed in 2001, consisting of Selina Jen, Hebe Tien, and Ella Chen. Their vocal chemistry, bright pop melodies, and warm, relatable image have made them one of the most iconic and long-running Mandopop groups. They have released over 10 studio albums with classic hits including ""Super Star"" (2003) and ""Ring Ring Ring"" (2006), defining a generation of Mandopop listeners.",台湾女子组合，成立于2001年，成员包括Selina、Hebe和Ella。和声默契、旋律明亮活泼，形象亲切温暖，是华语乐坛最具标志性和最长青的女子团体之一。发行超过10张录音室专辑，经典金曲包括《Super Star》（2003）和《Ring Ring Ring》（2006），代表了一代华语流行乐听众的集体记忆。,https://en.wikipedia.org/wiki/S.H.E
Smile_小千 (Smile Xiao Qian),Chinese,online music creator and self-media blogger,"Chinese online music creator active on Bilibili and NetEase Cloud Music since the mid-2010s. He produces covers and original compositions in the gufeng (ancient-style) genre, frequently drawing from Chinese historical themes, wuxia aesthetics, and video game soundtracks. He has contributed to official Jianwang 3 music projects and connects with his fanbase through music production tutorials and community interaction.",中国线上音乐创作者，自2010年代中期起活跃于Bilibili和网易云音乐平台。擅长古风翻唱及原创作品，创作常取材于中国历史主题、武侠美学及电子游戏配乐。曾参与《剑网3》官方音乐项目，通过音乐制作教程和社区互动与忠实粉丝群体保持紧密联系。,https://bgm.tv/subject/321025
Spencer Stewart,United States,producer/songwriter,"American producer and songwriter. His work is melody-driven and versatile, spanning indie-pop, dance, and commercial pop since the late 2010s. He has earned a reputation for clean production and an ear for memorable hooks, making him a reliable behind-the-scenes creator in the contemporary music landscape.",美国制作人及词曲作者，自2010年代末期起从事旋律驱动的流行与电子音乐制作，风格横跨独立流行、舞曲及商业流行。制作风格干净利落，对抓耳旋律有着敏锐的嗅觉，在当代音乐行业中积累了良好的幕后创作者口碑。,https://www.google.com/search?q=Spencer+Stewart+singer+biography
Sub Urban,United States,singer-songwriter and producer,"American singer-songwriter and producer. His music is dark, theatrical pop with immersive visual worldbuilding. His 2019 breakout single ""Cradles"" went viral on TikTok and has since amassed over 1 billion streams, establishing him as a leading figure in the dark-pop genre. His sound blends electronic production, haunting melodies, and unsettling yet catchy subject matter.",美国创作型歌手及制作人，音乐风格偏向暗黑戏剧化的流行乐，视觉构建极具沉浸感。2019年凭借单曲《Cradles》在TikTok走红，至今播放量超10亿次，确立了他在暗黑流行领域的先锋地位。其音乐融合电子制作、萦绕心头的旋律与不安但极具吸引力的主题。,https://en.wikipedia.org/wiki/Sub_Urban_(musician)
Tank,Taiwanese,singer-songwriter,"Taiwanese singer-songwriter (born Lü Jianzhong). His music is defined by emotionally charged R&B ballads and a powerful tenor voice. He rose to fame in the mid-2000s with hits like ""Fighting Love"" and ""I Can't Say"", staples of Taiwanese Mandopop. His songs often explore heartbreak, longing, and personal struggle. Despite health challenges, he has maintained a dedicated fanbase for over two decades.",台湾创作型歌手（本名吕建忠），擅长情感充沛的R&B情歌，拥有一副富有力量的男高音。2000年代中期凭借《斗鱼》和《说不出の爱》等金曲走红，成为台湾华语流行乐的标志性作品。其音乐常围绕心碎、思念与个人挣扎的主题。尽管曾受健康问题困扰，二十年来依然拥有一批忠实的歌迷。,https://www.google.com/search?q=Tank+singer+biography
f(x) (에프엑스),South Korea,group,"South Korean girl group formed by SM Entertainment in 2009. They built a reputation for experimental, genre-defying music that blends electro-pop, house, R&B, and avant-garde elements. Often cited as one of the most influential K-pop groups of the 2010s, the group consisted of Victoria, Amber, Luna, Sulli, and Krystal. Though on indefinite hiatus, their music continues to shape contemporary K-pop.",韩国女子组合，2009年由SM娱乐推出，音乐以实验性和打破常规见长，融合电子流行、浩室、R&B及先锋元素，被公认为2010年代最具影响力的K-pop组合之一。成员包括Victoria、Amber、Luna、Sulli和Krystal。尽管已无限期停止活动，其音乐依然深刻影响着当代K-pop。,https://www.google.com/search?q=f%28x%29+%28%EC%97%90%ED%94%84%EC%97%91%EC%8A%A4%29+singer+biography
丁一滕 (Ding Yiteng),China,singer,"Chinese singer and performer. His vocal timbre is distinctive and emotionally expressive, and he first gained attention in the 2010s through major Chinese music competition shows. His powerful stage presence and unconventional techniques drew praise. His repertoire spans Mandopop ballads, rock-infused tracks, and experimental pieces that showcase his artistic range.",中国歌手及表演者，嗓音质感独特、情感表达充沛。2010年代通过参与中国大型音乐竞演节目而崭露头角，其强大的舞台表现力和非传统的演唱技巧获得广泛好评。作品涵盖华语抒情、摇滚风格及实验性曲目，展现其多元的艺术表现力。,https://www.google.com/search?q=%E4%B8%81%E4%B8%80%E6%BB%95+(Ding+Yiteng)+singer+biography
丁当 (Della Ding),China,singer,"Chinese singer based in Taiwan. Her voice is wide-ranging and powerful, making her one of the most sought-after voices for television drama soundtracks. Since her debut in 2007, she has built a career on emotive ballad renditions. Her hits include ""I Love Him"" (2009) and ""Can't Let Go"" (2010), celebrated for their heartfelt delivery and technical control.",中国女歌手，活跃于台湾，音域宽广、嗓音极具爆发力，是电视剧原声带最炙手可热的歌手之一。2007年出道以来，凭借情感充沛的抒情演唱建立了坚实的音乐事业。代表作包括《我爱他》（2009）和《放不下》（2010），演唱真挚动人、技术控制扎实。,https://en.wikipedia.org/wiki/Della_Ding
三无Marblue (Sanwu Marblue),China,singer,"Chinese singer prominent in the online music and gufeng scene since the mid-2010s. Her voice is ethereal and crisp, and she moves easily across genres. She has built a large following on Bilibili and NetEase Cloud Music, frequently collaborating with other online musicians and contributing to game soundtracks, animated series, and fantasy fan projects.",中国歌手，自2010年代中期起活跃于线上音乐及古风音乐圈。嗓音空灵清亮，跨风格驾驭能力强，在Bilibili和网易云音乐等平台上拥有大量粉丝。常与其他线上音乐人合作，为游戏、动画及玄幻仙侠类粉丝项目贡献了大量原创配乐。,https://www.google.com/search?q=%E4%B8%89%E6%97%A0Marblue+(Sanwu+Marblue)+singer+biography
丢火车乐队 (Lost Train Band),China,band,"Chinese rock band formed in 2004. Their sound is melancholic yet hopeful, blending indie rock, folk, and post-rock textures. Their lyrics often evoke imagery of travel, loneliness, and the passage of time, resonating deeply with younger urban listeners. They have become one of the most beloved indie bands on the live music circuit, known for intimate yet emotionally expansive performances.",中国摇滚乐队，成立于2004年，音乐风格忧郁而充满希望，融合独立摇滚、民谣和后摇滚元素。歌词常唤起关于旅途、孤独与时间流逝的意象，深刻共鸣于年轻都市听众。是独立音乐现场最受喜爱的乐队之一，现场演出私密而情感宽广。,https://www.google.com/search?q=%E4%B8%A2%E7%81%AB%E8%BD%A6%E4%B9%90%E9%98%9F+(Lost+Train+Band)+singer+biography
中国潮音 (China Chao Yin),China,综艺节目（非艺人/乐队）,"China Chao Yin is a music variety show co-produced by Kugou Music and Youku. First season aired Nov 2021 – Jan 2022. Features 5 music directors and 41 groups spanning electronic, guofeng, folk, rap, rock, and opera. Not a band.",《中国潮音》是由酷狗音乐和优酷联合出品的国潮音乐竞演真人秀节目，2021年11月至2022年1月播出第一季。集结41组横跨电音、国风、说唱、摇滚、戏曲等领域的音乐人。并非乐队。,https://wapbaike.baidu.com/item/%E4%B8%AD%E5%9B%BD%E6%BD%AE%E9%9F%B3/58657674
于文文 (Kelly Yu),China,singer,"Chinese singer, songwriter, and musician. Her sound is guitar-driven pop-rock with powerful vocal delivery. A classically trained pianist who later took up guitar, she released her debut album in 2014 and gained wide recognition through the film The Ex-Files 3: The Return of the Exes (2017) and its hit theme song ""Bodyshame"". Her music blends Mandopop with rock, electronic, and R&B influences.",中国歌手、词曲作者及音乐人，音乐以吉他驱动的流行摇滚为主线，演唱充满力量感。自幼学习钢琴后转攻吉他，2014年发行首张专辑，2017年因电影《前任3：再见前任》及其主题曲《体面》而广为人知。其音乐融合华语流行与摇滚、电子、R&B元素。,https://www.google.com/search?q=%E4%BA%8E%E6%96%87%E6%96%87+(Kelly+Yu)+singer+biography
于贞 (Yu Zhen),China,singer,"Chinese singer and rapper. Her stage presence is bold and energetic, and her style spans hip-hop, pop, and electronic music. She gained prominence in 2020 through Rap for Youth, where her confident delivery and catchy hooks won over a wide audience. Her music often touches on self-expression, ambition, and youthful defiance.",中国歌手及说唱歌手，舞台表现大胆而充满活力，风格横跨嘻哈、流行与电子音乐。2020年通过参与《说唱新世代》崭露头角，其自信的表达和抓耳的旋律吸引了广泛受众。音乐常围绕自我表达、野心与青春叛逆的主题。,https://www.google.com/search?q=%E4%BA%8E%E8%B4%9E+(Yu+Zhen)+singer+biography
五月天 (Mayday),Taiwanese,band,"Taiwanese rock band formed in 1997, often called ""the Beatles of the Chinese-speaking world"". Their music features stadium anthems, direct choruses, and lyrics that capture the emotional landscape of youth, memory, and communal release. They have won multiple Golden Melody Awards for Best Band since the 2000s and have released over a dozen albums. Their live concerts are legendary for their emotional intensity and audience participation.","台湾摇滚乐队，成立于1997年，被誉为华语世界的披头士""。音乐以体育场级别的摇滚颂歌、直接有力的副歌和捕捉青春、记忆与集体情感释放的歌词见长。2000年代以来多次获得金曲奖最佳乐团奖，发行专辑十余张。现场演唱会以情感强度极高和观众深度参与闻名于世。""",https://en.wikipedia.org/wiki/Mayday_(Taiwanese_band)
五月天 阿信 (Ashin),"Taiwan, China",singer-songwriter,"Taiwanese singer-songwriter and lead vocalist of Mayday since 1997. His voice has a distinctive, slightly nasal warmth that is instantly recognizable across Mandopop. As the band's primary lyricist since the late 1990s, his writing is deeply nostalgic, introspective, and attuned to the emotional rhythms of growing up, love, and loss. Beyond Mayday, he has pursued solo projects under the moniker ""Ashin x"".","台湾创作型歌手，传奇乐队五月天自1997年成立以来的主唱。嗓音带有独特的、略带鼻音的温暖质感，在华语乐坛极具辨识度。作为乐队自1990年代末期起的主要词作者，歌词充满怀旧、内省色彩，精准捕捉成长、爱与失落的情感节律。除乐队活动外，也以阿信 x""的名义进行个人创作与合作项目。""",https://www.google.com/search?q=%E4%BA%94%E6%9C%88%E5%A4%A9+%E9%98%BF%E4%BF%A1+(Ashin)+singer+biography
五音Jw (Wuyin Jw),China,singer,"Chinese singer active in the gufeng and fantasy music genres since the 2010s. His voice is clear and emotionally expressive, well-suited to the dramatic, melancholic tone of wuxia and xianxia storytelling. He frequently collaborates with the online music community, contributing vocal performances to game soundtracks, character songs, and fan projects.",中国歌手，自2010年代以来活跃于古风与玄幻音乐领域。嗓音清亮而富有情感层次，善于诠释武侠与仙侠题材所需的戏剧性和忧郁氛围。是线上音乐社区的活跃合作者，为游戏配乐、角色歌曲及粉丝项目贡献了大量演唱作品。,https://www.google.com/search?q=%E4%BA%94%E9%9F%B3Jw+(Wuyin+Jw)+singer+biography
亦然 (Yiran),China,singer,"Chinese singer and online music creator active in the gufeng and pop crossover scene since the mid-2010s. His voice is gentle and fluid, and he has released both original tracks and covers that resonate with fans of Chinese fantasy aesthetics. His work draws from historical themes, classical poetry, and traditional Chinese musical motifs, reinterpreted through modern production.",中国歌手及线上音乐创作者，自2010年代中期起活跃于古风与流行跨界领域。嗓音温柔流畅，曾发布原创及翻唱作品，深受中国玄幻美学爱好者喜爱。其创作常取材于历史主题、古典诗词及传统音乐元素，并通过现代制作手法进行重新诠释。,https://www.google.com/search?q=%E4%BA%A6%E7%84%B6+(Yiran)+singer+biography
余佳运 (Yu Jiayun),China,singer,"Chinese singer-songwriter and producer. His music is smooth R&B-infused Mandopop, with warm, soulful vocals and sleek production. Since his debut in the mid-2010s, he has built a dedicated following through independent releases, establishing himself as a key figure in China's emerging R&B and soul scene.",中国创作型歌手及制作人，自2010年代中期出道以来，以融入R&B元素的华语流行风格见长。音乐温暖深情、制作流畅精致，歌词探索爱情与现代关系的复杂性。通过独立发行和线上平台积累了忠实听众，已成为中国新兴R&B与灵魂乐场景的重要人物。,https://www.google.com/search?q=%E4%BD%99%E4%BD%B3%E8%BF%90+(Yu+Jiayun)+singer+biography
八三夭乐团 (831),"Taiwan, China",band,"Taiwanese rock band formed in 2003. Their sound is energetic pop-rock with catchy hooks and anthemic choruses. They entered the mainstream in the late 2000s with support from Mayday and later developed a distinct identity with hits like ""The Last 831"" (2014) and ""Stay at Home"" (2019). Their music is youthful, celebratory, and tinged with nostalgic sentiment.",台湾摇滚乐队，成立于2003年，音乐充满活力的流行摇滚风格，旋律抓耳、副歌适合大合唱。2000年代末在五月天的支持下进入主流视野，后以《最后的831》（2014）和《想见你想见你想见你》（2019）等金曲确立独立风格。音乐充满青春气息、欢快明亮，常带怀旧色彩。,https://www.google.com/search?q=%E5%85%AB%E4%B8%89%E5%A4%AD%E4%B9%90%E5%9B%A2+(831)+singer+biography
八三夭阿璞 (A Pu),"Taiwan, China",singer,"Taiwanese singer and lead vocalist of 831 since its founding in 2003. His voice is raw and emotive, and his stage presence is energetic. As the band's primary songwriter, he crafts lyrics that capture the intensity of youth, love, and defiance. His vocal texture conveys vulnerability and strength in equal measure.",台湾歌手，摇滚乐队八三夭（831）自2003年成立以来的主唱。嗓音原始粗犷、情感充沛，舞台表现充满活力。作为乐队主要词曲作者，歌词捕捉了青春的激烈、爱与叛逆。嗓音具有独特的质感，脆弱与力量并存。,https://www.google.com/search?q=%E5%85%AB%E4%B8%89%E5%A4%AD%E9%98%BF%E7%92%9E+(A+Pu)+singer+biography
凡清 (Fanish) (Fanish),China,singer,"Chinese singer-songwriter who gained recognition through The Voice of China in 2021. Her music features a powerful, emotionally resonant vocal style and personal, confessional lyrics. She draws from pop, folk, and electronic influences to create a sound that is both contemporary and introspective.",中国创作型歌手，2021年因参加《中国好声音》而获得关注。音乐以极具力量感的情感嗓音和个人化的自白式歌词为特征。融合流行、民谣与电子元素，创造出既具当代感又充满内省的音乐风格。,https://www.google.com/search?q=%E5%87%A1%E6%B8%85+(Fanish)+singer+biography
凤凰传奇 (Phoenix Legend),Chinese,duo,"Chinese musical duo formed in 1998, consisting of female vocalist Yangwei Linghua and male rapper Zeng Yi. One of China's most commercially successful pop acts, they are known for their high-energy, folk-infused pop that blends traditional Chinese melodies with modern electronic beats and hip-hop elements. Hits include ""The Most Dazzling National Style"" (2009) and ""Moonlight on the Lotus Pond"" (2010).",中国音乐组合，成立于1998年，由女主唱杨魏玲花和男说唱曾毅组成。中国最具商业价值的流行组合之一，音乐高能量、融入民族元素，将传统中国旋律与现代电子节拍及嘻哈元素相结合。代表作包括《最炫民族风》（2009）和《荷塘月色》（2010）。,https://en.wikipedia.org/wiki/Phoenix_Legend
刘佳琪 (Liu Jiaqi),China,singer,"Chinese singer who gained recognition through The Voice of China in the late 2010s. Her voice is warm and emotive, with accessible Mandopop melodies. She has built a steady following through live performances and streaming platforms.",中国歌手，2010年代末因参加《中国好声音》而获得关注。嗓音温暖感性，旋律易入耳，此后通过现场演出和流媒体平台积累了稳定的听众群体。,https://www.google.com/search?q=%E5%88%98%E4%BD%B3%E7%90%AA+(Liu+Jiaqi)+singer+biography
刘惜君 (Liu Xijun),China,singer,"Chinese singer who rose to fame after finishing among the top five on Super Girl in 2009. Her voice is clean and pure, and her style is emotive balladry. She has released multiple albums and contributed extensively to television drama soundtracks. Hits include ""I'm Just a Child"" and numerous theme songs for popular Chinese dramas.",中国歌手，2009年因在《快乐女声》中获得全国五强而走红。嗓音干净清纯，演绎抒情歌曲时情感充沛，已发行多张专辑并为多部热播电视剧演唱主题曲。代表作包括《我很快乐》及多部电视剧主题曲。,https://www.google.com/search?q=%E5%88%98%E6%83%9C%E5%90%9B+(Liu+Xijun)+singer+biography
